,zip,percent_total_points,letter_grade
0,32008,63,A
1,32052,58,B
2,32064,58,B
3,32081,79,A
4,32083,78,A
5,32084,58,B
6,32092,61,B
7,32095,62,A
8,32114,50,C
9,32117,53,C
10,32118,53,C
11,32119,37,D
12,32124,40,D
13,32127,62,A
14,32128,50,C
15,32129,58,B
16,32130,54,B
17,32132,46,C
18,32140,64,A
19,32141,58,B
20,32148,53,C
21,32162,60,B
22,32168,56,B
23,32169,66,A
24,32174,58,B
25,32176,52,C
26,32180,51,C
27,32207,80,A
28,32209,56,B
29,32210,51,C
30,32211,40,D
31,32216,62,A
32,32217,78,A
33,32218,50,C
34,32225,67,A
35,32233,56,B
36,32246,64,A
37,32250,70,A
38,32256,58,B
39,32257,60,B
40,32258,74,A
41,32259,65,A
42,32266,54,B
43,32303,62,A
44,32307,58,B
45,32308,74,A
46,32311,54,B
47,32327,54,B
48,32347,54,B
49,32348,59,B
50,32351,67,A
51,32355,39,D
52,32359,56,B
53,32425,56,B
54,32428,56,B
55,32433,56,B
56,32435,51,C
57,32439,58,B
58,32459,69,A
59,32462,55,B
60,32504,35,D
61,32526,50,C
62,32535,56,B
63,32548,81,A
64,32561,89,A
65,32565,67,A
66,32566,65,A
67,32570,55,B
68,32571,72,A
69,32578,92,A
70,32583,61,B
71,32601,61,B
72,32608,86,A
73,32609,48,C
74,32626,46,C
75,32641,40,D
76,32664,49,C
77,32701,53,C
78,32702,45,C
79,32703,62,A
80,32707,56,B
81,32708,58,B
82,32712,59,B
83,32713,60,B
84,32714,57,B
85,32720,54,B
86,32724,56,B
87,32725,56,B
88,32736,60,B
89,32738,51,C
90,32744,59,B
91,32746,60,B
92,32750,58,B
93,32759,70,A
94,32763,50,C
95,32765,58,B
96,32766,59,B
97,32771,58,B
98,32773,52,C
99,32779,56,B
100,32780,69,A
101,32789,39,D
102,32792,57,B
103,32801,53,C
104,32803,62,A
105,32804,54,B
106,32805,57,B
107,32806,62,A
108,32808,47,C
109,32809,58,B
110,32810,48,C
111,32811,48,C
112,32812,50,C
113,32817,61,B
114,32818,52,C
115,32822,57,B
116,32824,58,B
117,32825,62,A
118,32826,59,B
119,32828,64,A
120,32829,64,A
121,32832,63,A
122,32835,60,B
123,32836,63,A
124,32837,58,B
125,32904,65,A
126,32907,63,A
127,32908,62,A
128,32909,56,B
129,32922,49,C
130,32935,43,C
131,32937,68,A
132,32940,73,A
133,32951,76,A
134,32967,59,B
135,32968,53,C
136,33009,46,C
137,33010,57,B
138,33012,54,B
139,33013,54,B
140,33014,63,A
141,33015,57,B
142,33016,67,A
143,33018,55,B
144,33020,63,A
145,33021,51,C
146,33023,53,C
147,33024,59,B
148,33025,60,B
149,33026,64,A
150,33027,72,A
151,33028,64,A
152,33029,70,A
153,33030,63,A
154,33032,61,B
155,33033,52,C
156,33034,64,A
157,33035,56,B
158,33040,52,C
159,33054,49,C
160,33055,54,B
161,33056,55,B
162,33060,34,D
163,33063,64,A
164,33064,45,C
165,33065,50,C
166,33067,66,A
167,33068,48,C
168,33069,35,D
169,33071,49,C
170,33073,61,B
171,33076,61,B
172,33122,70,A
173,33125,54,B
174,33126,46,C
175,33127,61,B
176,33128,61,B
177,33130,70,A
178,33132,77,A
179,33133,67,A
180,33134,73,A
181,33135,71,A
182,33136,52,C
183,33137,60,B
184,33138,60,B
185,33139,67,A
186,33140,61,B
187,33141,64,A
188,33142,55,B
189,33143,58,B
190,33146,70,A
191,33147,57,B
192,33149,87,A
193,33150,48,C
194,33155,50,C
195,33156,68,A
196,33157,58,B
197,33160,61,B
198,33161,51,C
199,33162,52,C
200,33165,62,A
201,33166,63,A
202,33167,76,A
203,33168,62,A
204,33169,52,C
205,33170,49,C
206,33172,79,A
207,33173,76,A
208,33174,60,B
209,33175,68,A
210,33176,76,A
211,33177,68,A
212,33178,68,A
213,33179,54,B
214,33180,60,B
215,33181,70,A
216,33182,57,B
217,33183,61,B
218,33184,75,A
219,33185,71,A
220,33186,65,A
221,33189,68,A
222,33190,67,A
223,33194,63,A
224,33196,58,B
225,33301,74,A
226,33308,80,A
227,33309,34,D
228,33311,38,D
229,33313,42,C
230,33314,77,A
231,33321,57,B
232,33324,64,A
233,33325,71,A
234,33327,79,A
235,33331,70,A
236,33332,68,A
237,33351,60,B
238,33401,69,A
239,33404,53,C
240,33405,53,C
241,33406,61,B
242,33407,62,A
243,33409,76,A
244,33410,55,B
245,33411,58,B
246,33413,56,B
247,33414,59,B
248,33415,61,B
249,33417,50,C
250,33418,66,A
251,33426,54,B
252,33430,54,B
253,33431,62,A
254,33432,69,A
255,33433,56,B
256,33434,64,A
257,33435,52,C
258,33436,59,B
259,33437,68,A
260,33440,81,A
261,33444,62,A
262,33445,56,B
263,33446,60,B
264,33449,58,B
265,33455,64,A
266,33458,60,B
267,33461,58,B
268,33462,55,B
269,33463,60,B
270,33467,58,B
271,33470,60,B
272,33472,56,B
273,33476,50,C
274,33486,44,C
275,33494,73,A
276,33496,74,A
277,33498,72,A
278,33510,51,C
279,33511,60,B
280,33513,57,B
281,33525,70,A
282,33527,69,A
283,33534,48,C
284,33538,58,B
285,33542,47,C
286,33543,62,A
287,33544,60,B
288,33545,56,B
289,33547,66,A
290,33549,72,A
291,33558,63,A
292,33559,64,A
293,33563,51,C
294,33565,48,C
295,33566,52,C
296,33567,46,C
297,33569,61,B
298,33570,62,A
299,33572,64,A
300,33578,55,B
301,33579,55,B
302,33584,51,C
303,33585,57,B
304,33592,46,C
305,33598,52,C
306,33602,50,C
307,33603,54,B
308,33604,42,C
309,33605,54,B
310,33606,76,A
311,33607,57,B
312,33609,57,B
313,33610,58,B
314,33611,61,B
315,33612,56,B
316,33613,56,B
317,33614,66,A
318,33617,54,B
319,33619,50,C
320,33624,74,A
321,33625,61,B
322,33626,68,A
323,33629,64,A
324,33634,64,A
325,33635,68,A
326,33647,51,C
327,33701,61,B
328,33702,63,A
329,33703,62,A
330,33704,58,B
331,33705,56,B
332,33706,68,A
333,33707,65,A
334,33708,60,B
335,33709,58,B
336,33710,63,A
337,33711,71,A
338,33712,54,B
339,33713,56,B
340,33714,54,B
341,33755,56,B
342,33756,65,A
343,33759,54,B
344,33760,47,C
345,33761,58,B
346,33763,50,C
347,33764,56,B
348,33765,62,A
349,33770,55,B
350,33771,66,A
351,33772,57,B
352,33773,51,C
353,33774,63,A
354,33776,58,B
355,33777,57,B
356,33778,64,A
357,33781,60,B
358,33782,58,B
359,33801,57,B
360,33803,67,A
361,33805,75,A
362,33809,59,B
363,33810,55,B
364,33811,58,B
365,33813,56,B
366,33815,55,B
367,33820,58,B
368,33823,57,B
369,33830,56,B
370,33837,52,C
371,33838,56,B
372,33839,60,B
373,33841,52,C
374,33843,58,B
375,33844,56,B
376,33846,62,A
377,33850,56,B
378,33853,51,C
379,33859,58,B
380,33860,56,B
381,33868,54,B
382,33880,56,B
383,33881,60,B
384,33884,55,B
385,33897,50,C
386,33901,68,A
387,33905,56,B
388,33908,43,C
389,33909,69,A
390,33912,60,B
391,33913,61,B
392,33914,69,A
393,33916,48,C
394,33919,89,A
395,33971,60,B
396,33975,57,B
397,33982,52,C
398,33991,61,B
399,33993,58,B
400,34104,84,A
401,34114,59,B
402,34116,38,D
403,34135,55,B
404,34142,54,B
405,34145,67,A
406,34202,66,A
407,34205,75,A
408,34208,58,B
409,34209,66,A
410,34211,58,B
411,34221,50,C
412,34232,60,B
413,34233,63,A
414,34234,61,B
415,34235,49,C
416,34236,56,B
417,34238,61,B
418,34240,63,A
419,34241,62,A
420,34243,53,C
421,34275,54,B
422,34285,56,B
423,34286,55,B
424,34287,56,B
425,34288,53,C
426,34289,62,A
427,34291,59,B
428,34292,62,A
429,34293,65,A
430,34472,58,B
431,34478,46,C
432,34601,48,C
433,34608,74,A
434,34610,58,B
435,34614,62,A
436,34638,63,A
437,34639,65,A
438,34652,55,B
439,34653,56,B
440,34654,64,A
441,34655,67,A
442,34668,53,C
443,34669,40,D
444,34677,57,B
445,34683,66,A
446,34684,59,B
447,34685,73,A
448,34688,72,A
449,34689,59,B
450,34691,58,B
451,34695,62,A
452,34698,58,B
453,34711,71,A
454,34714,52,C
455,34741,65,A
456,34744,57,B
457,34746,60,B
458,34758,56,B
459,34759,55,B
460,34761,58,B
461,34769,68,A
462,34771,54,B
463,34772,51,C
464,34785,60,B
465,34786,62,A
466,34787,63,A
467,34947,54,B
468,34953,57,B
469,34981,58,B
470,34982,64,A
471,34983,59,B
472,34984,59,B
473,34986,61,B
474,34987,62,A
475,34997,65,A
476,,53,C
